"bucket","item","status","fixed_or_candidate","reason","evidence","next_gate"
"fixed_baseline","voxel_size","settled","0.01","Round-1 sandbox best geometry branch","scaffold_knob_inventory.csv / README round 1","keep fixed before bridge is solved"
"fixed_baseline","appearance_dim","settled","0","Round-2 best branch; 16/32 hurt quality","scaffold_knob_inventory.csv / README round 2","keep fixed before bridge is solved"
"fixed_baseline","use_feat_bank","settled","False","Current best valid branch; True invalid under appearance_dim=0","scaffold_knob_inventory.csv / README round 3","keep fixed before bridge is solved"
"fixed_baseline","lambda_dssim","settled","0.3","Current best overall Scaffold sandbox setting","scaffold_knob_inventory.csv / README round 4","keep fixed before bridge is solved"
"fixed_baseline","min_opacity","settled","0.003","Best of 0.003/0.005/0.01 at 7k","results.json from scaffold_minop003/005/010 runs","keep fixed before bridge is solved"
"fixed_baseline","iterations","fidelity_axis","7000 probe / 30000 full","Already used as low/high fidelity ladder","README + fulltrain record in formal docs","do not resweep as discovery knob"
"fixed_baseline","data_device","settled","cpu","Validated route for 853-image scene; cuda full preload path not viable","sandbox runtime evidence","keep fixed before bridge is solved"
"hold_until_bridge","resolution","blocked","-1 full resolution","Fair full-resolution compare is still interesting, but current bridge/export signal is not trustworthy enough","scaffold_knob_inventory.csv","reopen only after bridge yields trustworthy deployment metric"
"hold_until_bridge","ratio","blocked","1 no anchor downsample","Fair full-scene compare remains interesting, but current bridge/export signal is not trustworthy enough","scaffold_knob_inventory.csv","reopen only after bridge yields trustworthy deployment metric"
"candidate_after_bridge","n_offsets","candidate","20 (or 2x current)","Most meaningful architecture knob for per-anchor Gaussian capacity","scaffold_knob_inventory.csv","promote after bridge-first milestone"
"candidate_after_bridge","add_color_dist","candidate","True","Most plausible appearance-distance prior for metallic specular behavior","scaffold_knob_inventory.csv","promote after bridge-first milestone"
"candidate_after_bridge","add_opacity_dist","candidate","True","Could help view-dependent opacity behavior once deployment metric is stable","scaffold_knob_inventory.csv","promote after bridge-first milestone"
"candidate_after_bridge","add_cov_dist","candidate","True","Could help distance-aware covariance behavior once deployment metric is stable","scaffold_knob_inventory.csv","promote after bridge-first milestone"
"not_now","appearance_lr_quartet","conditional","n/a","Meaningless while appearance_dim=0 remains chosen branch","scaffold_knob_inventory.csv","only reopen if appearance_dim>0 returns"
"not_now","mlp_featurebank_lr_quartet","conditional","n/a","Meaningless while use_feat_bank=False remains chosen branch","scaffold_knob_inventory.csv","only reopen if use_feat_bank=True returns"
"not_now","large_PB_marathon","blocked","30 logical knobs @ 7k","Methodology is valid, but timing is wrong before bridge/export closes the deployment loop","current live formal docs + scaffold inventory","do not run before bridge-first milestone"
